[2026-02-21 21:48:58] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"At2lyQpsPmLOy7IJ9e2FIey"}
[2026-02-21 21:53:29] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AMD1Ybt1_cYSa56cwrDcJHv"}
[2026-02-21 21:53:29] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A73HOdgq2k7-UOoXGLQZQPT"}
[2026-02-21 21:53:57] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AVK10w_Ey8FY7fynGD3akUg"}
[2026-02-21 21:59:22] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AcEona_Lo6JozQ-EhVvhoP5"}
[2026-02-21 21:59:23] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AogDsjo-zmXtUdEyZy72gH4"}
[2026-02-21 21:59:48] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Ajk62DClTO8E5Xtp4p9DlMf"}
[2026-02-21 21:59:48] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Av8FVP5fphRXm7QNGZf0DWN"}
[2026-02-21 22:00:20] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AhhI_tszpgUEEMYyGFjQ7mg"}
[2026-02-21 22:00:20] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AvTuMZGuHDOTtcg-lm34zy4"}
[2026-02-21 22:00:45] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AdsOWkDDnjaPCo_shbLy2Z4"}
[2026-02-21 22:00:45] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AmbN94CIRGyBjOT9QOpgFVq"}
[2026-02-21 22:06:13] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AFUBnxFD1GsR4ufi1gX7Z-1"}
[2026-02-21 22:06:13] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A7RXB9XQS2kHnF5WkbsBnqO"}
[2026-02-21 22:06:28] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AByRtJ28hAwvzvekeFjMREP"}
[2026-02-21 22:07:46] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ArO2g4sjsujaxIUhLi37GRN"}
[2026-02-21 22:07:46] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A3kWnNqtFAXxOmzFkObJHT7"}
[2026-02-21 22:07:56] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A6L7uEGihABy86Bhjww8cx8"}
[2026-02-21 22:07:56] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"APtc0wQFXHGcDIYPHNNoSsw"}
[2026-02-21 22:07:56] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AX6BUaS7cgEYPHFW28akzkP"}
[2026-02-21 22:07:56] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A3shbSbnL5EJY7RjZ-LBNR8"}
[2026-02-21 22:08:14] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AaX-jGHLn5_5_2DobRi393-"}
[2026-02-21 22:08:15] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A1hyKRKSdhxbmcay2tZ1IUT"}
[2026-02-21 22:08:36] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ATX6Thl1PHHMD2pYjryhsLO"}
[2026-02-21 22:09:05] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AyjmSJLkv2xA5I3ie5BEB4U"}
[2026-02-21 22:09:06] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AB94LAWK6pG12DhUZFdMhpd"}
[2026-02-21 22:09:53] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AGfMMz5Gjz3g5scJQ6PMcH1"}
[2026-02-21 22:09:53] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AsiVxTDPsbgZ40mXz_gG8Ej"}
[2026-02-21 22:10:03] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AX5E5SzMhngTeSYjOAT_Jsj"}
[2026-02-21 22:10:03] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AsR_y1Qm8Pk7GscmeG9fALN"}
[2026-02-21 22:10:19] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AdFUSBTvX0YyWAQIVesS6Oj"}
[2026-02-21 22:10:19] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AOPzruqYiOyW-TTKmU8-Wnr"}
[2026-02-21 22:12:26] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AjYr41tRvm6JlMbVEcV02cD"}
[2026-02-21 22:12:27] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A9nfSxBVhdpE1GDbKhFx4Zd"}
[2026-02-21 22:13:06] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A2Cr4dRFyGyAOyB9AYaQ9vB"}
[2026-02-21 22:13:06] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A5NU0uO-f1dkqB5EmqgF_0_"}
[2026-02-21 22:14:05] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AuHz2s7CHDmQ2KOtk5Hsdzx"}
[2026-02-21 22:14:05] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AWPfZ6xWf5nP4LzYJPYCFF6"}
[2026-02-21 22:15:32] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AWoQ7IreO2sLaiEtHBm4NVJ"}
[2026-02-21 22:15:32] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AOo1M_J4RSzXOgw0B_qntQA"}
